standard_source,standard_target
CALM3,TRPC1
CALM1,TRPC1
CALM2,TRPC1
CAV1,TRPC1
CALM3,TRPC3
CALM1,TRPC3
CALM2,TRPC3
EPOR,TRPC3
CALM3,TRPC6
CALM1,TRPC6
CALM2,TRPC6
SRC,TRPC6
FYN,TRPC6
NPHS1,TRPC6
CALM3,TRPV1
CALM1,TRPV1
CALM2,TRPV1
SRC,TRPV1
CALM3,TRPV4
CALM1,TRPV4
CALM2,TRPV4
SRC,TRPV4
FYN,TRPV4
LCK,TRPV4
LYN,TRPV4
CALM3,TRPV5
CALM1,TRPV5
CALM2,TRPV5
S100A10,TRPV5
KL,TRPV5
CALM3,TRPV6
CALM1,TRPV6
CALM2,TRPV6
S100A10,TRPV6
KL,TRPV6
TRPV5,TRPV6
TP53,TRPM2
CALM3,MYLK
CALM1,MYLK
CALM2,MYLK
SRC,MYLK
CALM3,MYLK2
CALM1,MYLK2
CALM2,MYLK2
CALM3,CAMK2A
CALM1,CAMK2A
CALM2,CAMK2A
GNRH1,CAMK2A
CALM3,ATP2B1
CALM1,ATP2B1
CALM3,NOS1
CALM1,NOS1
CALM2,NOS1
CALM3,CAMK4
CALM1,CAMK4
CALM2,CAMK4
CALM3,ADCY1
CALM1,ADCY1
CALM2,ADCY1
GNAI2,ADCY1
GNAI1,ADCY1
GNAI3,ADCY1
GNAS,ADCY1
CALM3,EEF2K
CALM1,EEF2K
CALM2,EEF2K
CALM3,CAMKK2
CALM1,CAMKK2
CALM2,CAMKK2
CALM3,GRIN2A
CALM1,GRIN2A
CALM2,GRIN2A
SRC,GRIN2A
FYN,GRIN2A
CALM3,ITPR1
CALM1,ITPR1
CALM2,ITPR1
FYN,ITPR1
LYN,ITPR1
ERP44,ITPR1
GNB2,PLCB1
GNA11,PLCB1
CALM3,DAPK1
CALM1,DAPK1
CALM2,DAPK1
SRC,DAPK1
NEO1,DAPK1
UNC5B,DAPK1
HSP90AA1,DAPK1
PTPRF,DAPK1
PTPN11,NRAS
SRC,GRK2
EGFR,GRK2
EGF,GRK2
GNB2,GRK2
ROR2,GRK2
CALM3,RYR1
CALM1,RYR1
CALM3,GRM7
CALM1,GRM7
CALM2,GRM7
CALM3,DRD2
SRC,EGFR
LYN,EGFR
JAK2,EGFR
TP53,EGFR
TGFA,EGFR
AR,EGFR
EGF,EGFR
PTPN6,EGFR
PTPRJ,EGFR
CBL,EGFR
PTPN11,EGFR
MMP2,EGFR
PTPRK,EGFR
HGF,EGFR
TGFB1,EGFR
NRG3,EGFR
AREG,EGFR
HBEGF,EGFR
AXL,EGFR
BTC,EGFR
NTS,EGFR
TNC,EGFR
EREG,EGFR
PTPRS,EGFR
PTPRG,EGFR
EPN1,EGFR
EPGN,EGFR
ICAM1,EGFR
DCN,EGFR
PDCD6IP,EGFR
CMTM8,EGFR
CALM3,CAMKK1
CALM1,CAMKK1
FGF13,SCN8A
FGF14,SCN8A
CALM3,NOS3
CALM1,NOS3
CALM2,NOS3
SRC,NOS3
TP53,NOS3
PRKCI,NOS3
HSP90AA1,NOS3
PRKCZ,NOS3
VEGFA,NOS3
KDR,NOS3
KNG1,NOS3
GHRL,NOS3
ADIPOQ,NOS3
ACTN4,NOS3
KL,INSR
PTPN13,INSR
IGF1,INSR
PTPRF,INSR
IGF2,INSR
PTPRJ,INSR
PTPRH,INSR
INS,INSR
PTPRB,INSR
PTPRG,INSR
ENPP1,INSR
SRC,ESR1
EGFR,ESR1
LCK,ESR1
JAK2,ESR1
TP53,ESR1
ERBB2,ESR1
AR,ESR1
TXN,ESR1
NCOR1,ESR1
ERBB4,ESR1
NR0B2,ESR1
PRL,ESR1
COL1A1,GP6
PRKCZ,GRM5
SRC,AR
CASP8,AR
HSP90AA1,AR
GSN,AR
HNRNPK,AR
HSPB1,AR
STUB1,AR
NR0B2,AR
PA2G4,AR
CALR,AR
EPHA3,AR
PRDX1,AR
CD34,SELL
PODXL2,SELL
SRC,CACNA1C
CALM3,ADCY8
CALM1,ADCY8
GNAS,ADCY8
CALM3,CAMK2D
CALM1,CAMK2D
CALM2,CAMK2D
CALM3,CAMK2B
GNRH1,CAMK2B
CALM3,CAMK2G
CALM1,CAMK2G
CALM3,CAMK1
CALM1,CAMK1
EGFR,ABCA1
MEGF10,ABCA1
APOA1,ABCA1
GNAS,ADCY3
TRAF2,MAP2K3
TNFRSF1A,MAP2K3
MAP3K1,MAP2K3
TRAF2,MAP2K6
TNFRSF1A,MAP2K6
MAP3K1,MAP2K6
SRC,CTNNB1
FYN,CTNNB1
NTRK1,CTNNB1
EGFR,CTNNB1
IGF1R,CTNNB1
WNT1,CTNNB1
KIT,CTNNB1
ERBB2,CTNNB1
CDH1,CTNNB1
MET,CTNNB1
AR,CTNNB1
PRKCZ,CTNNB1
PTPRF,CTNNB1
LRP6,CTNNB1
PTPN6,CTNNB1
PTPRJ,CTNNB1
APC,CTNNB1
YAP1,CTNNB1
WNT3A,CTNNB1
CDH2,CTNNB1
WNT2,CTNNB1
PSEN1,CTNNB1
FGFR1,CTNNB1
CDH10,CTNNB1
PTPRZ1,CTNNB1
FZD1,CTNNB1
CDH15,CTNNB1
FZD5,CTNNB1
CDH7,CTNNB1
CDH3,CTNNB1
CDH11,CTNNB1
PTK7,CTNNB1
CDH6,CTNNB1
PTPRM,CTNNB1
CDH5,CTNNB1
CDH9,CTNNB1
CTNNA3,CTNNB1
CDH16,CTNNB1
PTPRU,CTNNB1
CDH24,CTNNB1
CDH8,CTNNB1
GDNF,TH
SRC,GRIN2B
FYN,GRIN2B
PTPN11,GRIN2B
EPHB2,GRIN2B
PTPRG,GRIN2B
FGFR1,CREBBP
EGFR,CALM1
INSR,CALM1
EGFR,CALM2
INSR,CALM2
ADM,CALCR
ADM2,CALCR
CALCA,CALCR
CALCB,CALCR
IAPP,CALCR
CRH,CRHR1
UCN,CRHR1
UCN2,CRHR1
UCN3,CRHR1
HAS2,HMMR
ADCYAP1,ADCYAP1R1
VIP,ADCYAP1R1
GRK2,OPRM1
POMC,OPRM1
PDYN,OPRM1
PENK,OPRM1
GCG,GLP1R
SCT,SCTR
VIP,SCTR
GCG,GLP2R
NME2,KCNN4
PTHLH,PTH2R
PTH2,PTH2R
PTH,PTH2R
ADCYAP1,VIPR1
VIP,VIPR1
GHRH,VIPR1
PTPN13,FAS
TP53,FAS
MET,FAS
BTK,FAS
FASLG,FAS
EGFR,CALM3
INSR,CALM3
SRC,ABL1
FYN,ABL1
NTRK1,ABL1
LCK,ABL1
LYN,ABL1
PTPN13,ABL1
ERBB2,ABL1
CDON,ABL1
PTPRG,ABL1
PTPN13,SRC
ERBB2,SRC
CDH1,SRC
PRKCI,SRC
HSP90AA1,SRC
PRKCZ,SRC
EGF,SRC
PDGFRB,SRC
GNAI2,SRC
PTPRJ,SRC
PTPRH,SRC
PTPN11,SRC
GNAI1,SRC
EPHB2,SRC
PDGFRA,SRC
EPHA3,SRC
AFDN,SRC
PTN,SRC
PTPRB,SRC
ITGB1,SRC
PTPRG,SRC
ROR1,SRC
S1PR1,SRC
ACTN1,SRC
ITGB5,SRC
PTK2,GRB7
KIT,GRB7
RET,GRB7
INSR,GRB7
ERBB3,GRB7
PTPN11,GRB7
TEK,GRB7
EPHB1,GRB7
CAV1,PDGFRA
PDGFRB,PDGFRA
CBL,PDGFRA
TGFB1,PDGFRA
PDGFC,PDGFRA
PDGFA,PDGFRA
PDGFB,PDGFRA
PTPRG,PDGFRA
CAV1,PDGFRB
PTPRJ,PDGFRB
CBL,PDGFRB
GRK2,PDGFRB
PDGFC,PDGFRB
PDGFA,PDGFRB
PDGFB,PDGFRB
PDGFD,PDGFRB
PTPRG,PDGFRB
CAV1,LRP6
SRC,LRP6
WNT1,LRP6
WNT5A,LRP6
DKK1,LRP6
FZD8,LRP6
WNT3A,LRP6
WNT2,LRP6
WNT3,LRP6
WNT7A,LRP6
WNT10B,LRP6
KREMEN1,LRP6
KREMEN2,LRP6
GRK5,LRP6
RSPO1,LRP6
FZD5,LRP6
ZNRF3,LRP6
CCN2,LRP6
WNT9A,LRP6
WNT9B,LRP6
SOST,LRP6
DKK4,LRP6
SMO,FYN
PDGFRB,FYN
IL7R,FYN
PTPRC,FYN
EPHA4,FYN
EPHA3,FYN
S1PR1,FYN
CAV1,MMP14
CCL2,MMP14
FURIN,MMP14
TIMP3,MMP14
CAV1,SOS1
SRC,SOS1
FYN,SOS1
EGFR,SOS1
PIK3R1,SOS1
ERBB2,SOS1
EGF,SOS1
MMP14,TGFB1
FURIN,TGFB1
MMP2,TGFB1
TGFB2,TGFB1
THBS1,TGFB1
MMP9,TGFB1
LTBP1,TGFB1
LRRC32,TGFB1
FMOD,TGFB1
EMILIN1,TGFB1
FYN,APP
BACE2,APP
ADAM10,APP
BACE1,APP
ADAM17,APP
ADAM9,APP
CASP8,APP
TGFB1,APP
CTSD,APP
APOE,APP
SRC,EPHA2
TP53,EPHA2
PRKCZ,EPHA2
CBL,EPHA2
EFNA1,EPHA2
EFNA2,EPHA2
EFNA5,EPHA2
EFNA3,EPHA2
EFNA4,EPHA2
GCG,DPP4
SRC,PTK2
FYN,PTK2
EGFR,PTK2
LCK,PTK2
LYN,PTK2
JAK2,PTK2
TP53,PTK2
ERBB2,PTK2
MET,PTK2
RET,PTK2
NEO1,PTK2
TLN1,PTK2
INSR,PTK2
PDGFRB,PTK2
NRG1,PTK2
SDC4,PTK2
SYK,PTK2
PTPRH,PTK2
PTPN11,PTK2
EPHB2,PTK2
CXCR4,PTK2
PDGFRA,PTK2
