standard_metName	Gene_name
L-Lactic acid	SLC16A1
L-Lactic acid	HCAR1
Adenosine	ADORA1
Adenosine	ADORA2A
Adenosine	ADORA2B
Adenosine	ADORA3
Adenosine	SLC29A2
Adenosine	SLC29A1
ATP	P2RX1
ATP	P2RX2
ATP	P2RX3
ATP	P2RX4
ATP	P2RX5
ATP	P2RX6
ATP	P2RX7
ATP	P2RY1
ATP	P2RY2
ATP	P2RY4
ATP	P2RY6
ATP	P2RY11
ATP	P2RY12
ATP	P2RY13
ATP	GPR17
ATP	ITPR1
ATP	RYR1
ATP	RYR2
ATP	RYR3
ATP	TRPM4
L-Glutamine	SLC1A5
L-Glutamine	SLC38A2
L-Glutamine	SLC3A2
L-Glutamine	SLC7A5
L-Glutamine	SLC6A14
L-Glutamine	SLC6A19
L-Glutamine	SLC7A6
L-Glutamine	SLC7A7
L-Glutamine	SLC38A1
L-Glutamine	SLC38A3
L-Glutamine	SLC38A5
L-Glutamine	SLC38A7
L-Glutamine	SLC38A8
L-Glutamine	SLC43A1
L-Glutamine	GPRC6A
Succinate	SUCNR1
Succinate	SLC13A5
Succinate	TRPC6
Prostaglandin E2	PTGER1
Prostaglandin E2	PTGER2
Prostaglandin E2	PTGER4
Prostaglandin E2	PTGER3
Prostaglandin E2	SLC22A1
Prostaglandin E2	SLC22A2
