TMCN_Name,Source_Genes,Target_Genes
TMCN_Lactate_MCT1,"EGFR,PIK3CA,AKT1,HIF1A,HK2,LDHA,SLC16A3",SLC16A1
TMCN_Lactate_LDHB_MCT1,"EGFR,PIK3CA,AKT1,HIF1A,HK2,LDHB,SLC16A3",SLC16A1
TMCN_Lactate_HCAR1,"EGFR,PIK3CA,AKT1,HIF1A,HK2,LDHA,SLC16A3",HCAR1
TMCN_Lactate_LDHB_HCAR1,"EGFR,PIK3CA,AKT1,HIF1A,HK2,LDHB,SLC16A3",HCAR1
TMCN_Adenosine_ADORA1,"HIF1A,MYC,ENTPD1,NT5E",ADORA1
TMCN_Adenosine_ADORA2A,"HIF1A,MYC,ENTPD1,NT5E",ADORA2A
TMCN_Adenosine_ADORA2B,"HIF1A,MYC,ENTPD1,NT5E",ADORA2B
TMCN_Adenosine_ADORA3,"HIF1A,MYC,ENTPD1,NT5E",ADORA3
TMCN_PGE2_PTGER1,"NFKB1,RELA,STAT3,PTGS2,PTGES",PTGER1
TMCN_PGE2_PTGER2,"NFKB1,RELA,STAT3,PTGS2,PTGES",PTGER2
TMCN_PGE2_PTGER4,"NFKB1,RELA,STAT3,PTGS2,PTGES",PTGER4
TMCN_Glutamine_SLC1A5,"MYC,STAT3,GLUL",SLC1A5
TMCN_Glutamine_SLC38A2,"MYC,STAT3,GLUL",SLC38A2
TMCN_Succinate_EGLN1_SUCNR1,"HIF1A,EGLN1,SLC25A10",SUCNR1
TMCN_Succinate_TET2_SUCNR1,"HIF1A,TET2,SLC25A10",SUCNR1
